"","year","count","normalized_count"
"1",1918,56,0.00189959294436906
"2",1919,27,0.000985401459854015
"3",1920,42,0.00142372881355932
"4",1921,42,0.00137479541734861
"5",1922,50,0.00173490631505899
"6",1923,48,0.00164948453608247
"7",1924,58,0.00194696206780799
"8",1925,49,0.0016844276383637
"9",1926,62,0.00218386755899965
"10",1927,57,0.00203426124197002
"11",1928,78,0.00291697830964847
"12",1929,79,0.00305964368706429
"13",1930,100,0.00381970970206264
"14",1931,154,0.00614525139664805
"15",1932,303,0.0124180327868852
"16",1933,453,0.0196358907672302
"17",1934,588,0.0245409015025042
"18",1935,1097,0.0461506100126209
"19",1936,1719,0.0729936305732484
"20",1937,2232,0.0924989639452963
"21",1938,4508,0.180608974358974
"22",1939,5542,0.224736415247364
"23",1940,7283,0.284603360687769
"24",1941,10830,0.400665926748058
"25",1942,15386,0.514754098360656
"26",1943,16816,0.541752577319588
"27",1944,15943,0.54246342293297
"28",1945,15678,0.548565430370889
"29",1946,19646,0.57596012899443
"30",1947,21648,0.567146974063401
"31",1948,21996,0.604784162771515
"32",1949,22467,0.615702932310222
"33",1950,24136,0.664537444933921
"34",1951,27998,0.732931937172775
"35",1952,28959,0.740828856485034
"36",1953,29853,0.754054054054054
"37",1954,32454,0.79719970523213
"38",1955,33218,0.810788381742739
"39",1956,40047,0.951235154394299
"40",1957,40586,0.943860465116279
"41",1958,38463,0.905864342910975
"42",1959,36776,0.866378502052867
"43",1960,36380,0.854421832615052
"44",1961,34697,0.812894797632608
"45",1962,35184,0.844275107370082
"46",1963,32485,0.792699889214792
"47",1964,30247,0.751013658631058
"48",1965,32872,0.874172086806629
"49",1966,25446,0.705603623019216
"50",1967,21540,0.611765146938661
"51",1968,19558,0.558550407760646
"52",1969,17638,0.489916410338742
"53",1970,16701,0.447581676084972
"54",1971,14209,0.399581548775721
"55",1972,11182,0.343173405687619
"56",1973,9355,0.298218182223901
"57",1974,8651,0.273769461492843
"58",1975,8166,0.259716468237687
"59",1976,7505,0.23691610675967
"60",1977,7444,0.223769866940497
"61",1978,6372,0.19116311595879
"62",1979,5601,0.160285119210805
"63",1980,5054,0.139912486871093
"64",1981,4536,0.124984914188598
"65",1982,4154,0.112863965231161
"66",1983,3789,0.104123928635125
"67",1984,3537,0.0963985848458808
"68",1985,3139,0.0834715884146009
"69",1986,2800,0.0745365358133413
"70",1987,2582,0.067779809597012
"71",1988,2567,0.0656604024545275
"72",1989,2757,0.0682263958200011
"73",1990,2716,0.0653165350876771
"74",1991,2599,0.0632220578086539
"75",1992,2763,0.0679702456129302
"76",1993,2807,0.0701707897526148
"77",1994,2487,0.0629179508936398
"78",1995,2270,0.058211262776667
"79",1996,2401,0.0616986689430846
"80",1997,2223,0.0572806162703748
"81",1998,2073,0.0525934828226336
"82",1999,2172,0.0548565609532919
"83",2000,2173,0.0535378068568799
"84",2001,2193,0.0544718454082569
"85",2002,2222,0.05524991011322
"86",2003,2331,0.0569933617770388
"87",2004,2165,0.0526501124013023
"88",2005,2064,0.0498749622131918
"89",2006,2029,0.0475670809542955
"90",2007,2171,0.0502984894467004
"91",2008,1816,0.0427526088272837
"92",2009,1433,0.0346917506019007
"93",2010,1286,0.0321549357826426
"94",2011,1103,0.0278986946041446
"95",2012,896,0.0226672411058274
"96",2013,730,0.0185647608795221
"97",2014,631,0.0158221658764778
"98",2015,626,0.0157345851963694
"99",2016,615,0.015585896664238
"100",2017,552,0.0143172091816885
"101",2018,468,0.012342709572879
